ID	type	start	end	strand	locus_tag	symbol	entrezID
gene-Cj1273c	protein_coding	1206775	1206999	-	Cj1273c	rpoZ	905564
gene-Cj1274c	protein_coding	1207010	1207729	-	Cj1274c	pyrH	905565
gene-Cj0116	protein_coding	120763	121683	+	Cj0116	fabD	904447
gene-5UTR_Cj1274c	5UTR	1207730	1207747	-	Cj1274c	5UTR_Cj1274c	0
gene-Cj1275c	protein_coding	1207781	1208974	-	Cj1275c	Cj1275c	905566
gene-Cj1276c	protein_coding	1208971	1209777	-	Cj1276c	Cj1276c	905567
gene-Cj1277c	protein_coding	1209764	1210429	-	Cj1277c	Cj1277c	905568
gene-5UTR_Cj1277c	5UTR	1210430	1210458	-	Cj1277c	5UTR_Cj1277c	0
gene-Cj1278c	protein_coding	1210499	1211677	-	Cj1278c	trmB	905569
gene-Cj1279c	protein_coding	1211677	1212912	-	Cj1279c	Cj1279c	905570
gene-5UTR_Cj1278c	5UTR	1211678	1211928	-	Cj1278c	5UTR_Cj1278c	0
gene-Cj1280c	protein_coding	1212857	1213825	-	Cj1280c	Cj1280c	905571
gene-5UTR_Cj1280c	5UTR	1213826	1213863	-	Cj1280c	5UTR_Cj1280c	0
gene-5UTR_Cj1282	5UTR	1213877	1213902	+	Cj1282	5UTR_Cj1282	0
gene-Cj1282	protein_coding	1213903	1215003	+	Cj1282	mrdB	905572
gene-Cjp23	tRNA	1215057	1215133	+	Cjp23	tRNAMet	0
gene-Cjp24	tRNA	1215241	1215316	-	Cjp24	tRNAPhe	0
gene-5UTR_Cj1283	5UTR	1215429	1215455	+	Cj1283	5UTR_Cj1283	0
gene-Cj1283	protein_coding	1215456	1216799	+	Cj1283	ktrB	905575
gene-Cj0117	protein_coding	121680	122369	+	Cj0117	pfs	904448
gene-Cj1284	protein_coding	1216810	1217460	+	Cj1284	ktrA	905576
gene-Cj1285c	protein_coding	1217457	1218128	-	Cj1285c	Cj1285c	905577
gene-Cj1286c	protein_coding	1218134	1218760	-	Cj1286c	upp	905578
gene-Cj1287c	protein_coding	1218757	1219992	-	Cj1287c	Cj1287c	905579
gene-5UTR_Cj1287c	5UTR	1219993	1220223	-	Cj1287c	5UTR_Cj1287c	0
gene-Cj1288c	protein_coding	1219994	1221385	-	Cj1288c	gltX	905580
gene-5UTR_Cj1289	5UTR	1221425	1221449	+	Cj1289	5UTR_Cj1289	0
gene-Cj1289	protein_coding	1221450	1222265	+	Cj1289	Cj1289	905581
gene-Cj1290c	protein_coding	1222303	1223634	-	Cj1290c	accC	905582
gene-5UTR_Cj0118	5UTR	122241	122365	+	Cj0118	5UTR_Cj0118	0
gene-Cj1291c	protein_coding	1223636	1224091	-	Cj1291c	accB	905583
gene-Cj0118	protein_coding	122366	123121	+	Cj0118	Cj0118	904449
gene-5UTR_Cj1291c	5UTR	1224092	1224122	-	Cj1291c	5UTR_Cj1291c	0
gene-Cj1292	protein_coding	1224239	1224799	+	Cj1292	dcd	905584
gene-5UTR_Cj1293	5UTR	1224823	1224848	+	Cj1293	5UTR_Cj1293	0
gene-Cj1293	protein_coding	1224849	1225853	+	Cj1293	pseB	905585
gene-Cj1294	protein_coding	1225855	1226985	+	Cj1294	pseC	905586
gene-Cj1295	protein_coding	1226978	1228285	+	Cj1295	Cj1295	905587
gene-Cj1298	protein_coding	1229096	1229887	+	Cj1298	Cj1298	905590
gene-5UTR_Cj1299	5UTR	1229886	1229917	+	Cj1299	5UTR_Cj1299	0
gene-Cj1299	protein_coding	1229918	1230148	+	Cj1299	acpP2	905591
gene-Cj1300	protein_coding	1230145	1231038	+	Cj1300	Cj1300	905592
gene-Cj1301	protein_coding	1231031	1231447	+	Cj1301	Cj1301	905593
gene-Cj0119	protein_coding	123126	123647	+	Cj0119	Cj0119	904451
gene-Cj1302	protein_coding	1231444	1233006	+	Cj1302	Cj1302	905594
gene-Cj1303	protein_coding	1232996	1234057	+	Cj1303	fabH2	905595
gene-Cj1304	protein_coding	1234057	1234278	+	Cj1304	acpP3	905596
gene-Cj1305c	protein_coding	1234292	1235509	-	Cj1305c	Cj1305c	905597
gene-5UTR_Cj1305c	5UTR	1235510	1235749	-	Cj1305c	5UTR_Cj1305c	0
gene-Cj1306c	protein_coding	1235522	1236748	-	Cj1306c	Cj1306c	905598
gene-Cj0120	protein_coding	123647	124261	+	Cj0120	Cj0120	904452
gene-5UTR_Cj1306c	5UTR	1236749	1236773	-	Cj1306c	5UTR_Cj1306c	0
gene-Cj1307	protein_coding	1236809	1238317	+	Cj1307	Cj1307	905599
gene-Cj1308	protein_coding	1238357	1238584	+	Cj1308	Cj1308	905600
gene-Cj1309c	protein_coding	1238581	1239651	-	Cj1309c	Cj1309c	905601
gene-Cj1310c	protein_coding	1239673	1240887	-	Cj1310c	Cj1310c	905602
gene-5UTR_Cj1310c	5UTR	1240888	1240911	-	Cj1310c	5UTR_Cj1310c	0
gene-5UTR_Cj1311	5UTR	1240947	1240965	+	Cj1311	5UTR_Cj1311	0
gene-Cj1311	protein_coding	1240966	1241664	+	Cj1311	pseF	905603
gene-Cj1312	protein_coding	1241648	1242472	+	Cj1312	pseG	905604
gene-Cj1313	protein_coding	1242469	1242942	+	Cj1313	pseH	905605
gene-Cj0121	protein_coding	124258	124665	+	Cj0121	Cj0121	904453
gene-Cj1314c	protein_coding	1242907	1243653	-	Cj1314c	hisF	905606
gene-Cj1315c	protein_coding	1243654	1244259	-	Cj1315c	hisH	905607
gene-Cj1316c	protein_coding	1244256	1245392	-	Cj1316c	pseA	905608
gene-5UTR_Cj1316c	5UTR	1245393	1245413	-	Cj1316c	5UTR_Cj1316c	0
gene-5UTR_Cj1317	5UTR	1245612	1245649	+	Cj1317	5UTR_Cj1317	0
gene-Cj1317	protein_coding	1245650	1246681	+	Cj1317	pseI	905609
gene-Cj1318	protein_coding	1246678	1248627	+	Cj1318	Cj1318	905610
gene-5UTR_Cj0122	5UTR	124762	124788	+	Cj0122	5UTR_Cj0122	0
gene-Cj0122	protein_coding	124789	125478	+	Cj0122	Cj0122	904454
gene-5UTR_Cj1319	5UTR	1248434	1248623	+	Cj1319	5UTR_Cj1319	0
gene-Cj1319	protein_coding	1248624	1249595	+	Cj1319	Cj1319	905611
gene-Cj1320	protein_coding	1249588	1250742	+	Cj1320	Cj1320	905612
gene-5UTR_Cj1321	5UTR	1250728	1250851	+	Cj1321	5UTR_Cj1321	0
gene-5UTR_Cj1324	5UTR	1252251	1252277	+	Cj1324	5UTR_Cj1324	0
gene-Cj1324	protein_coding	1252278	1253399	+	Cj1324	Cj1324	905616
gene-Cj1325	protein_coding	1253417	1254092	+	Cj1325	Cj1325	905617
gene-Cj1327	protein_coding	1254132	1255136	+	Cj1327	neuB2	905619
gene-Cj0123c	protein_coding	125503	126429	-	Cj0123c	Cj0123c	904455
gene-Cj1328	protein_coding	1255129	1256283	+	Cj1328	neuC2	905620
gene-5UTR_Cj1329	5UTR	1256261	1256291	+	Cj1329	5UTR_Cj1329	0
gene-Cj1329	protein_coding	1256292	1257317	+	Cj1329	Cj1329	905621
gene-Cj1330	protein_coding	1257314	1258219	+	Cj1330	Cj1330	905622
gene-5UTR_Cj1331	5UTR	1258037	1258211	+	Cj1331	5UTR_Cj1331	0
gene-Cj1331	protein_coding	1258212	1258919	+	Cj1331	ptmB	905623
gene-Cj1332	protein_coding	1258919	1259689	+	Cj1332	ptmA	905624
gene-Cj1333	protein_coding	1259677	1261638	+	Cj1333	pseD	905625
gene-5UTR_Cj1334	5UTR	1261445	1261634	+	Cj1334	5UTR_Cj1334	0
gene-Cj1334	protein_coding	1261635	1263494	+	Cj1334	Cj1334	905626
gene-Cj1335	protein_coding	1263507	1265454	+	Cj1335	Cj1335	905627
gene-Cj0124c	protein_coding	126426	127412	-	Cj0124c	Cj0124c	904457
gene-Cj0008	protein_coding	12644	14395	+	Cj0008	Cj0008	904337
gene-5UTR_Cj1337	5UTR	1265261	1265450	+	Cj1337	5UTR_Cj1337	0
gene-Cj1337	protein_coding	1265451	1267337	+	Cj1337	pseE	905629
gene-Cj1338c	protein_coding	1267368	1269086	-	Cj1338c	flaB	905630
gene-5UTR_Cj1338c	5UTR	1269087	1269112	-	Cj1338c	5UTR_Cj1338c	0
gene-Cj1339c	protein_coding	1269232	1270950	-	Cj1339c	flaA	905631
gene-5UTR_Cj1339c	5UTR	1270951	1270994	-	Cj1339c	5UTR_Cj1339c	0
gene-Cj1340c	protein_coding	1271047	1272864	-	Cj1340c	Cj1340c	905632
gene-Cj1341c	protein_coding	1272861	1274684	-	Cj1341c	Cj1341c	905633
gene-Cj0125c	protein_coding	127402	127764	-	Cj0125c	Cj0125c	904459
gene-5UTR_Cj0124c	5UTR	127413	127532	-	Cj0124c	5UTR_Cj0124c	0
gene-Cj1342c	protein_coding	1274694	1275935	-	Cj1342c	Cj1342c	905634
gene-Cj1343c	protein_coding	1275935	1276450	-	Cj1343c	Cj1343c	905635
gene-Cj1344c	protein_coding	1276451	1277458	-	Cj1344c	Cj1344c	905636
gene-Cj1345c	protein_coding	1277455	1278849	-	Cj1345c	Cj1345c	905637
gene-Cj0126c	protein_coding	127776	128237	-	Cj0126c	Cj0126c	904460
gene-Cj1346c	protein_coding	1278851	1279921	-	Cj1346c	dxr	905638
gene-Cj1347c	protein_coding	1279918	1280643	-	Cj1347c	cdsA	905639
gene-Cj1348c	protein_coding	1280652	1280990	-	Cj1348c	Cj1348c	905640
gene-5UTR_Cj1348c	5UTR	1280991	1281130	-	Cj1348c	5UTR_Cj1348c	0
gene-Cj1349c	protein_coding	1280992	1282299	-	Cj1349c	Cj1349c	905641
gene-Cj0127c	protein_coding	128227	129069	-	Cj0127c	accD	904461
gene-5UTR_Cj1349c	5UTR	1282299	1282299	-	Cj1349c	5UTR_Cj1349c	0
gene-Cj1350	protein_coding	1282361	1282936	+	Cj1350	mobA	905642
gene-Cj1351	protein_coding	1282933	1283922	+	Cj1351	pldA	905643
gene-Cj1352	protein_coding	1284008	1284976	+	Cj1352	ceuB	905644
gene-5UTR_Cj1353	5UTR	1284682	1284968	+	Cj1353	5UTR_Cj1353	0
gene-Cj1353	protein_coding	1284969	1285907	+	Cj1353	ceuC	905645
gene-Cj1354	protein_coding	1285904	1286659	+	Cj1354	ceuD	905646
gene-Cj1355	protein_coding	1286672	1287664	+	Cj1355	ceuE	905647
gene-Cjp25	tRNA	1287737	1287826	-	Cjp25	tRNASer	0
gene-Cj1356c	protein_coding	1287890	1288444	-	Cj1356c	Cj1356c	905649
gene-Cj1357c	protein_coding	1288580	1290412	-	Cj1357c	nrfA	905650
gene-Cj1358c	protein_coding	1290427	1290942	-	Cj1358c	nrfH	905651
gene-5UTR_Cj0127c	5UTR	129070	129097	-	Cj0127c	5UTR_Cj0127c	0
gene-Cj0128c	protein_coding	129078	129800	-	Cj0128c	Cj0128c	904462
gene-5UTR_Cj1358c	5UTR	1290943	1290996	-	Cj1358c	5UTR_Cj1358c	0
gene-Cj1359	protein_coding	1291131	1293215	+	Cj1359	ppk	905652
gene-Cjs01	misc_RNA	1293300	1293658	-	Cjs01	Cjs01	0
gene-Cj1361c	protein_coding	1293659	1294111	-	Cj1361c	Cj1361c	905654
gene-5UTR_Cj1362	5UTR	1294130	1294159	+	Cj1362	5UTR_Cj1362	0
gene-Cj1362	protein_coding	1294160	1295167	+	Cj1362	ruvB	905655
gene-Cj1363	protein_coding	1295171	1296214	+	Cj1363	amaA	905656
gene-Cj1364c	protein_coding	1296244	1297635	-	Cj1364c	fumC	905657
gene-Cj1365c	protein_coding	1297691	1300816	-	Cj1365c	Cj1365c	905658
gene-Cj0129c	protein_coding	129800	132019	-	Cj0129c	Cj0129c	904463
gene-5UTR_Cj0128c	5UTR	129801	129995	-	Cj0128c	5UTR_Cj0128c	0
gene-Cj1366c	protein_coding	1300819	1302615	-	Cj1366c	glmS	905659
gene-5UTR_Cj1366c	5UTR	1302616	1302841	-	Cj1366c	5UTR_Cj1366c	0
gene-Cj1367c	protein_coding	1302620	1304968	-	Cj1367c	Cj1367c	905660
gene-5UTR_Cj1367c	5UTR	1304969	1305000	-	Cj1367c	5UTR_Cj1367c	0
gene-5UTR_Cj1368	5UTR	1305082	1305111	+	Cj1368	5UTR_Cj1368	0
gene-Cj1368	protein_coding	1305112	1306176	+	Cj1368	Cj1368	905661
gene-Cj1369	protein_coding	1306186	1307505	+	Cj1369	Cj1369	905662
gene-Cj1370	protein_coding	1307519	1307962	+	Cj1370	Cj1370	905663
gene-5UTR_Cj1371	5UTR	1307982	1308006	+	Cj1371	5UTR_Cj1371	0
gene-Cj1371	protein_coding	1308007	1308705	+	Cj1371	Cj1371	905664
gene-Cj1372	protein_coding	1308715	1309284	+	Cj1372	Cj1372	905665
gene-Cj1373	protein_coding	1309284	1311755	+	Cj1373	Cj1373	905666
gene-Cj1374c	protein_coding	1311786	1312388	-	Cj1374c	Cj1374c	905667
gene-5UTR_Cj1374c	5UTR	1312389	1312424	-	Cj1374c	5UTR_Cj1374c	0
gene-5UTR_Cj1375	5UTR	1312522	1312554	+	Cj1375	5UTR_Cj1375	0
gene-Cj1375	protein_coding	1312555	1313850	+	Cj1375	Cj1375	905668
gene-Cj1376	protein_coding	1313847	1314656	+	Cj1376	Cj1376	905669
gene-Cj1377c	protein_coding	1314649	1316310	-	Cj1377c	Cj1377c	905670
gene-5UTR_Cj1377c	5UTR	1316311	1316344	-	Cj1377c	5UTR_Cj1377c	0
gene-5UTR_Cj1378	5UTR	1316368	1316387	+	Cj1378	5UTR_Cj1378	0
gene-Cj1378	protein_coding	1316388	1317710	+	Cj1378	selA	905671
gene-Cj1379	protein_coding	1317707	1319512	+	Cj1379	selB	905672
gene-5UTR_Cj1380	5UTR	1319534	1319560	+	Cj1380	5UTR_Cj1380	0
gene-Cj1380	protein_coding	1319561	1320271	+	Cj1380	Cj1380	905673
gene-5UTR_Cj0129c	5UTR	132020	132048	-	Cj0129c	5UTR_Cj0129c	0
gene-Cj1381	protein_coding	1320277	1320807	+	Cj1381	Cj1381	905674
gene-Cj1382c	protein_coding	1320852	1321343	-	Cj1382c	fldA	905675
gene-Cj0130	protein_coding	132096	132923	+	Cj0130	tyrA	904465
gene-Cj1383c	protein_coding	1321343	1322038	-	Cj1383c	Cj1383c	905676
gene-Cj1384c	protein_coding	1322041	1322355	-	Cj1384c	Cj1384c	905677
gene-Cj1385	protein_coding	1322526	1323950	+	Cj1385	katA	905678
gene-Cj1386	protein_coding	1324007	1324477	+	Cj1386	Cj1386	905679
gene-Cj1387c	protein_coding	1324478	1325134	-	Cj1387c	Cj1387c	905680
gene-5UTR_Cj1387c	5UTR	1325135	1325165	-	Cj1387c	5UTR_Cj1387c	0
gene-5UTR_Cj1388	5UTR	1325272	1325301	+	Cj1388	5UTR_Cj1388	0
gene-Cj1388	protein_coding	1325302	1325664	+	Cj1388	Cj1388	905681
gene-Cj1394	protein_coding	1328292	1329659	+	Cj1394	Cj1394	905684
gene-5UTR_Cj0131	5UTR	132965	133002	+	Cj0131	5UTR_Cj0131	0
gene-Cj0131	protein_coding	133003	134376	+	Cj0131	Cj0131	904466
gene-5UTR_Cj1397	5UTR	1331069	1331089	+	Cj1397	5UTR_Cj1397	0
gene-Cj1397	protein_coding	1331090	1331314	+	Cj1397	Cj1397	905686
gene-Cj1398	protein_coding	1331311	1333152	+	Cj1398	feoB	905687
gene-Cj1399c	protein_coding	1333149	1334642	-	Cj1399c	hydA2	905688
gene-Cj1400c	protein_coding	1334646	1335470	-	Cj1400c	fabI	905689
gene-Cj1401c	protein_coding	1335474	1336145	-	Cj1401c	tpiA	905690
gene-Cj1402c	protein_coding	1336142	1337344	-	Cj1402c	pgk	905691
gene-Cj1403c	protein_coding	1337347	1338345	-	Cj1403c	gapA	905692
gene-5UTR_Cj1403c	5UTR	1338346	1338370	-	Cj1403c	5UTR_Cj1403c	0
gene-5UTR_Cj1404	5UTR	1338377	1338403	+	Cj1404	5UTR_Cj1404	0
gene-Cj1404	protein_coding	1338404	1338949	+	Cj1404	nadD	905693
gene-5UTR_Cj1405	5UTR	1338959	1338976	+	Cj1405	5UTR_Cj1405	0
gene-Cj1405	protein_coding	1338977	1339303	+	Cj1405	Cj1405	905694
gene-Cj1406c	protein_coding	1339362	1339712	-	Cj1406c	Cj1406c	905695
gene-5UTR_Cj1406c	5UTR	1339713	1339742	-	Cj1406c	5UTR_Cj1406c	0
gene-Cj1407c	protein_coding	1339759	1341147	-	Cj1407c	Cj1407c	905696
gene-5UTR_Cj1407c	5UTR	1341148	1341211	-	Cj1407c	5UTR_Cj1407c	0
gene-5UTR_Cj1408	5UTR	1341222	1341249	+	Cj1408	5UTR_Cj1408	0
gene-Cj1408	protein_coding	1341250	1341786	+	Cj1408	fliL	905697
gene-5UTR_Cj1409	5UTR	1341643	1341785	+	Cj1409	5UTR_Cj1409	0
gene-Cj1409	protein_coding	1341786	1342133	+	Cj1409	acpS	905698
gene-Cj1410c	protein_coding	1342134	1342553	-	Cj1410c	Cj1410c	905699
gene-Cj1411c	protein_coding	1342550	1343911	-	Cj1411c	Cj1411c	905700
gene-Cj0132	protein_coding	134376	135260	+	Cj0132	lpxC	904467
gene-Cj1412c	protein_coding	1343908	1345029	-	Cj1412c	Cj1412c	905701
gene-5UTR_Cj1411c	5UTR	1343912	1344160	-	Cj1411c	5UTR_Cj1411c	0
gene-5UTR_Cj1412c	5UTR	1345030	1345047	-	Cj1412c	5UTR_Cj1412c	0
gene-Cj1413c	protein_coding	1345102	1346286	-	Cj1413c	kpsS	905702
gene-Cj1414c	protein_coding	1346283	1348352	-	Cj1414c	kpsC	905703
gene-5UTR_Cj1413c	5UTR	1346287	1346390	-	Cj1413c	5UTR_Cj1413c	0
gene-Cj1415c	protein_coding	1348349	1348861	-	Cj1415c	cysC	905704
gene-Cj1416c	protein_coding	1348851	1349612	-	Cj1416c	Cj1416c	905705
gene-5UTR_Cj1416c	5UTR	1349613	1349684	-	Cj1416c	5UTR_Cj1416c	0
gene-Cj1417c	protein_coding	1349614	1350216	-	Cj1417c	Cj1417c	905706
gene-Cj1418c	protein_coding	1350207	1352546	-	Cj1418c	Cj1418c	905707
gene-5UTR_Cj1418c	5UTR	1352547	1352761	-	Cj1418c	5UTR_Cj1418c	0
gene-Cj1419c	protein_coding	1352561	1353322	-	Cj1419c	Cj1419c	905708
gene-Cj0133	protein_coding	135299	135700	+	Cj0133	Cj0133	904469
gene-Cj1420c	protein_coding	1353375	1354148	-	Cj1420c	Cj1420c	905709
gene-5UTR_Cj1420c	5UTR	1354149	1354173	-	Cj1420c	5UTR_Cj1420c	0
gene-Cj1421c	protein_coding	1354215	1356053	-	Cj1421c	Cj1421c	905710
gene-5UTR_Cj1421c	5UTR	1356054	1356090	-	Cj1421c	5UTR_Cj1421c	0
gene-Cj1422c	protein_coding	1356108	1357985	-	Cj1422c	Cj1422c	905711
gene-5UTR_Cj0134	5UTR	135677	135708	+	Cj0134	5UTR_Cj0134	0
gene-Cj0134	protein_coding	135709	136587	+	Cj0134	thrB	904490
gene-5UTR_Cj1422c	5UTR	1357986	1358022	-	Cj1422c	5UTR_Cj1422c	0
gene-Cj1423c	protein_coding	1358036	1358701	-	Cj1423c	hddC	905712
gene-Cj1424c	protein_coding	1358689	1359294	-	Cj1424c	gmhA2	905713
gene-Cj1425c	protein_coding	1359282	1360301	-	Cj1425c	hddA	905714
gene-5UTR_Cj1425c	5UTR	1360302	1360313	-	Cj1425c	5UTR_Cj1425c	0
gene-Cj1426c	protein_coding	1360321	1361172	-	Cj1426c	Cj1426c	905715
gene-5UTR_Cj1426c	5UTR	1361173	1361450	-	Cj1426c	5UTR_Cj1426c	0
gene-Cj1427c	protein_coding	1361191	1362132	-	Cj1427c	Cj1427c	905716
gene-Cj1428c	protein_coding	1362156	1363196	-	Cj1428c	fcl	905717
gene-Cj1429c	protein_coding	1363196	1364122	-	Cj1429c	Cj1429c	905718
gene-5UTR_Cj1428c	5UTR	1363197	1363281	-	Cj1428c	5UTR_Cj1428c	0
gene-Cj1430c	protein_coding	1364126	1364671	-	Cj1430c	rfbC	905719
gene-Cj1431c	protein_coding	1364671	1366419	-	Cj1431c	hddC	905720
gene-Cj0135	protein_coding	136612	136869	+	Cj0135	Cj0135	904470
gene-Cj1432c	protein_coding	1366422	1369517	-	Cj1432c	Cj1432c	905721
gene-5UTR_Cj0136	5UTR	136816	136855	+	Cj0136	5UTR_Cj0136	0
gene-Cj0136	protein_coding	136856	139471	+	Cj0136	infB	904471
gene-Cj1433c	protein_coding	1369527	1370633	-	Cj1433c	Cj1433c	905722
gene-5UTR_Cj1433c	5UTR	1370634	1370660	-	Cj1433c	5UTR_Cj1433c	0
gene-Cj1434c	protein_coding	1370667	1372004	-	Cj1434c	Cj1434c	905723
gene-Cj1435c	protein_coding	1372056	1372691	-	Cj1435c	Cj1435c	905724
gene-Cj1436c	protein_coding	1372695	1373867	-	Cj1436c	Cj1436c	905725
gene-Cj1437c	protein_coding	1373917	1375020	-	Cj1437c	Cj1437c	905726
gene-Cj1438c	protein_coding	1375007	1377337	-	Cj1438c	Cj1438c	905727
gene-Cj1439c	protein_coding	1377339	1378445	-	Cj1439c	glf	905728
gene-5UTR_Cj1439c	5UTR	1378446	1378466	-	Cj1439c	5UTR_Cj1439c	0
gene-Cj1440c	protein_coding	1378483	1379706	-	Cj1440c	Cj1440c	905729
gene-5UTR_Cj1440c	5UTR	1379707	1379890	-	Cj1440c	5UTR_Cj1440c	0
gene-Cj1441c	protein_coding	1379716	1380897	-	Cj1441c	kfiD	905730
gene-Cj1442c	protein_coding	1380894	1382528	-	Cj1442c	Cj1442c	905731
gene-Cj1443c	protein_coding	1382528	1383475	-	Cj1443c	kpsF	905732
gene-Cj1444c	protein_coding	1383486	1385144	-	Cj1444c	kpsD	905733
gene-5UTR_Cj1444c	5UTR	1385145	1385199	-	Cj1444c	5UTR_Cj1444c	0
gene-Cj1445c	protein_coding	1385146	1386264	-	Cj1445c	kpsE	905734
gene-Cj1447c	protein_coding	1386264	1386926	-	Cj1447c	kpsT	905735
gene-5UTR_Cj1445c	5UTR	1386265	1386337	-	Cj1445c	5UTR_Cj1445c	0
gene-Cj1448c	protein_coding	1386923	1387705	-	Cj1448c	kpsM	905736
gene-5UTR_Cj1448c	5UTR	1387706	1387736	-	Cj1448c	5UTR_Cj1448c	0
gene-Cj1449c	protein_coding	1387777	1388184	-	Cj1449c	Cj1449c	905737
gene-5UTR_Cj1449c	5UTR	1388185	1388187	-	Cj1449c	5UTR_Cj1449c	0
gene-5UTR_Cj1450	5UTR	1388235	1388258	+	Cj1450	5UTR_Cj1450	0
gene-Cj1450	protein_coding	1388259	1388822	+	Cj1450	Cj1450	905738
gene-Cj1451	protein_coding	1388859	1389548	+	Cj1451	dut	905739
gene-Cj1452	protein_coding	1389550	1390263	+	Cj1452	Cj1452	905740
gene-Cj1453c	protein_coding	1390246	1391211	-	Cj1453c	tilS	905741
gene-Cj1454c	protein_coding	1391201	1392520	-	Cj1454c	Cj1454c	905742
gene-5UTR_Cj1454c	5UTR	1392521	1392572	-	Cj1454c	5UTR_Cj1454c	0
gene-5UTR_Cj1455	5UTR	1392561	1392593	+	Cj1455	5UTR_Cj1455	0
gene-Cj1455	protein_coding	1392594	1393691	+	Cj1455	prfB	905743
gene-sRNA_CJnc150	sRNA	1393745	1393825	-	CJnc150	sRNA_CJnc150	0
gene-Cj1456c	protein_coding	1393849	1394163	-	Cj1456c	Cj1456c	905744
gene-5UTR_Cj1456c	5UTR	1394164	1394193	-	Cj1456c	5UTR_Cj1456c	0
gene-Cj1457c	protein_coding	1394285	1395403	-	Cj1457c	truD	905745
gene-Cj0137	protein_coding	139468	139830	+	Cj0137	rbfA	904468
gene-Cj1458c	protein_coding	1395372	1396193	-	Cj1458c	thiL	905746
gene-5UTR_Cj0002	5UTR	1396	1482	+	Cj0002	5UTR_Cj0002	0
gene-5UTR_Cj1458c	5UTR	1396194	1396196	-	Cj1458c	5UTR_Cj1458c	0
gene-5UTR_Cj1459	5UTR	1396262	1396279	+	Cj1459	5UTR_Cj1459	0
gene-Cj1459	protein_coding	1396280	1397353	+	Cj1459	Cj1459	905747
gene-Cj1460	protein_coding	1397350	1397733	+	Cj1460	Cj1460	905748
gene-Cj1461	protein_coding	1397726	1398409	+	Cj1461	Cj1461	905749
gene-Cj0138	protein_coding	139820	140242	+	Cj0138	Cj0138	904546
gene-5UTR_Cj1462	5UTR	1398444	1398467	+	Cj1462	5UTR_Cj1462	0
gene-Cj1462	protein_coding	1398468	1399514	+	Cj1462	flgI	905750
gene-Cj1463	protein_coding	1399514	1399855	+	Cj1463	flgJ	905751
gene-Cj1464	protein_coding	1399918	1400115	+	Cj1464	flgM	905752
gene-Cj1465	protein_coding	1400158	1400592	+	Cj1465	Cj1465	905753
gene-Cj1466	protein_coding	1400602	1402428	+	Cj1466	flgK	905754
gene-Cj1467	protein_coding	1402445	1403209	+	Cj1467	Cj1467	905755
gene-Cj0139	protein_coding	140289	142640	+	Cj0139	Cj0139	904929
gene-5UTR_Cj1468	5UTR	1403085	1403212	+	Cj1468	5UTR_Cj1468	0
gene-Cj1468	protein_coding	1403213	1403977	+	Cj1468	Cj1468	905756
gene-Cj1471c	protein_coding	1405147	1406706	-	Cj1471c	ctsE	905758
gene-Cj1472c	protein_coding	1406696	1407283	-	Cj1472c	Cj1472c	905759
gene-Cj1473c	protein_coding	1407287	1407895	-	Cj1473c	ctsP	905760
gene-Cj1474c	protein_coding	1407888	1409306	-	Cj1474c	ctsD	905761
gene-Cj1475c	protein_coding	1409278	1409595	-	Cj1475c	Cj1475c	905762
gene-Cj1476c	protein_coding	1409619	1413179	-	Cj1476c	Cj1476c	905763
gene-5UTR_Cj1476c	5UTR	1413180	1413219	-	Cj1476c	5UTR_Cj1476c	0
gene-Cj1477c	protein_coding	1413272	1413913	-	Cj1477c	Cj1477c	905764
gene-Cj1478c	protein_coding	1413913	1414872	-	Cj1478c	cadF	905765
gene-5UTR_Cj1478c	5UTR	1414873	1414914	-	Cj1478c	5UTR_Cj1478c	0
gene-Cj1479c	protein_coding	1414997	1415386	-	Cj1479c	rpsI	905766
gene-Cj1480c	protein_coding	1415389	1415814	-	Cj1480c	rplM	905767
gene-5UTR_Cj1480c	5UTR	1415815	1415843	-	Cj1480c	5UTR_Cj1480c	0
gene-Cj1481c	protein_coding	1415898	1418663	-	Cj1481c	Cj1481c	905768
gene-Cj1482c	protein_coding	1418660	1421026	-	Cj1482c	Cj1482c	905769
gene-Cj1483c	protein_coding	1421023	1421544	-	Cj1483c	Cj1483c	905770
gene-5UTR_Cj1482c	5UTR	1421027	1421310	-	Cj1482c	5UTR_Cj1482c	0
gene-Cj1484c	protein_coding	1421531	1422133	-	Cj1484c	Cj1484c	905771
gene-5UTR_Cj1483c	5UTR	1421545	1421570	-	Cj1483c	5UTR_Cj1483c	0
gene-Cj1485c	protein_coding	1422130	1422231	-	Cj1485c	Cj1485c	905772
gene-Cj1486c	protein_coding	1422228	1422449	-	Cj1486c	Cj1486c	905773
gene-Cj1487c	protein_coding	1422446	1423309	-	Cj1487c	ccoP	905774
gene-Cj1488c	protein_coding	1423309	1423572	-	Cj1488c	ccoQ	905775
gene-Cj1489c	protein_coding	1423577	1424242	-	Cj1489c	ccoO	905776
gene-Cj1490c	protein_coding	1424255	1425721	-	Cj1490c	ccoN	905777
gene-5UTR_Cj1490c	5UTR	1425722	1425751	-	Cj1490c	5UTR_Cj1490c	0
gene-Cj1491c	protein_coding	1425847	1426527	-	Cj1491c	Cj1491c	905778
gene-Cj0140	protein_coding	142633	143964	+	Cj0140	Cj0140	904472
gene-5UTR_Cj1491c	5UTR	1426528	1426690	-	Cj1491c	5UTR_Cj1491c	0
