# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	name	symbol	locus_tag	feature_interval_length	product_length	chromosome_name
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	363307	364653	-	EAQ73258.1	malate:quinone oxidoreductase, putative		CJJ81176_0416	1347	448.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	364772	365401	-	EAQ73381.1	transcriptional activator, putative, Baf family		CJJ81176_0417	630	209.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	365388	365678	-	EAQ73347.1	tram-like protein		CJJ81176_0418	291	96.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	365675	366673	-	EAQ72997.1	lipoprotein, putative		CJJ81176_0419	999	332.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	366670	367248	-	EAQ73156.1	hypothetical protein		CJJ81176_0420	579	192.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	367392	367676	+	EAQ73439.1	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	gatC	CJJ81176_0421	285	94.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	367745	368308	+	EAQ73236.1	cvpA family protein		CJJ81176_0422	564	187.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	368310	368783	+	EAQ73017.1	ferric uptake regulation protein	fur	CJJ81176_0423	474	157.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	368784	370289	+	EAQ73080.1	lysyl-tRNA synthetase	lysS	CJJ81176_0424	1506	501.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	370286	371530	+	EAQ73109.2	serine hydroxymethyltransferase	glyA	CJJ81176_0425	1245	414.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	371527	372306	+	EAQ73448.1	hypothetical protein		CJJ81176_0427	780	259.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	372320	373156	+	EAQ73388.1	hypothetical protein		CJJ81176_0428	837	278.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	373153	373941	+	EAQ73100.1	shikimate 5-dehydrogenase	aroE	CJJ81176_0429	789	262.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	374015	374914	-	EAQ73276.1	lipoprotein, putative		CJJ81176_0430	900	299.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	375004	375819	+	EAQ73200.1	prolipoprotein diacylglyceryl transferase	lgt	CJJ81176_0431	816	271.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	375889	376671	+	EAQ73136.1	fumarate reductase, cytochrome b subunit	frdC	CJJ81176_0432	783	260.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	376655	378646	+	EAQ73056.1	fumarate reductase, flavoprotein subunit	frdA	CJJ81176_0433	1992	663.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	378639	379364	+	EAQ73378.1	fumarate reductase, iron-sulfur protein subunit	frdB	CJJ81176_0434	726	241.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	379392	381578	+	EAQ73461.1	GTP-binding protein		CJJ81176_0435	2187	728.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	381688	383397	+	EAQ73444.2	GTP-binding protein		CJJ81176_0436	1710	569.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	383397	384101	+	EAQ73065.1	hypothetical protein		CJJ81176_0437	705	234.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	384237	384965	+	EAQ73351.1	hypothetical protein		CJJ81176_0438	729	242.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	384967	386688	+	EAQ73314.1	oxidoreductase, putative		CJJ81176_0439	1722	573.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	386977	387168	+	EAQ73231.1	hypothetical protein		CJJ81176_0440	192	63.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	387247	387972	-	EAQ73297.1	hypothetical protein		CJJ81176_0441	726	241.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	388079	388441	+	EAQ73070.1	HIT family protein		CJJ81176_0442	363	120.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	388515	389087	+	EAQ73127.1	hypothetical protein		CJJ81176_0443	573	190.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	389091	390047	-	EAQ73421.1	membrane protein, putative		CJJ81176_0444	957	318.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	390020	390169	+	EAQ72961.1	hypothetical protein		CJJ81176_0445	150	49.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	390215	391792	+	EAQ73426.1	ABC transporter, ATP-binding protein		CJJ81176_0446	1578	525.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	391785	392117	+	EAQ73332.1	hypothetical protein		CJJ81176_0447	333	110.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	392193	392576	+	EAQ73182.1	hypothetical protein		CJJ81176_0448	384	127.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	392620	393204	-	EAQ73251.1	hypothetical protein		CJJ81176_0449	585	194.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	393331	394557	+	EAQ73222.1	membrane protein, putative		CJJ81176_0450	1227	408.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	394550	395287	+	EAQ73005.1	hypothetical protein		CJJ81176_0451	738	245.0	CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	395765	397275	+		16S ribosomal RNA	rrsB	CJJ81176_1711	1511		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	397380	397455	+		tRNA-Ala		CJJ81176_1712	76		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	397464	397540	+		tRNA-Ile		CJJ81176_1713	77		CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	398121	400915	+		23S ribosomal RNA	rrlB	CJJ81176_1714	2795		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	401151	401303	-	EAQ73026.1	hypothetical protein		CJJ81176_0456	153	50.0	CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	401329	401448	+		5S ribosomal RNA	rrfB	CJJ81176_1715	120		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	401632	402840	-	EAQ73380.1	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	CJJ81176_0458	1209	402.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	402840	403901	-	EAQ73459.1	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	CJJ81176_0459	1062	353.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	403981	405459	+	EAQ73275.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	pgm	CJJ81176_0460	1479	492.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	405531	406274	+	EAQ73169.1	3-oxoacyl-(acyl-carrier-protein) reductase	fabG	CJJ81176_0461	744	247.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	406284	406691	+	EAQ73101.1	hypothetical protein		CJJ81176_0462	408	135.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	407028	408863	+	EAQ73114.1	succinate dehydrogenase, flavoprotein subunit	sdhA	CJJ81176_0463	1836	611.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	408860	409825	+	EAQ73312.1	succinate dehydrogenase, iron-sulfur protein subunit	sdhB	CJJ81176_0464	966	321.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	409829	410686	+	EAQ73128.1	succinate dehydrogenase, C subunit	sdhC	CJJ81176_0465	858	285.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	410710	411375	-	EAQ73055.1	TenA/Thi-4 family protein		CJJ81176_0466	666	221.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	411353	411469	+	EAQ73440.1	hypothetical protein		CJJ81176_0467	117	38.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	411488	411721	+	EAQ73375.1	acyl carrier protein	acpP	CJJ81176_0468	234	77.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	411747	412961	+	EAQ73398.1	3-oxoacyl-(acyl-carrier-protein) synthase II	fabF	CJJ81176_0469	1215	404.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	412963	413901	+	EAQ73334.1	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	accA	CJJ81176_0470	939	312.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	413993	416107	+	EAQ73281.2	TonB-dependent receptor, putative, degenerate		CJJ81176_0471	2115	704.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	416190	416786	+	EAQ73207.1	NUDIX domain protein		CJJ81176_0472	597	198.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	416818	417915	-	EAQ73068.1	methyl-accepting chemotaxis protein		CJJ81176_0473	1098	365.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	417925	418140	-	EAQ73112.1	hypothetical protein		CJJ81176_0474	216	71.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	418323	418517	-	EAQ73141.1	ribosomal protein L28	rpmB	CJJ81176_0475	195	64.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	418657	419304	+	EAQ73305.1	ribulose-phosphate 3-epimerase	rpe	CJJ81176_0476	648	215.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	419301	420062	+	EAQ73025.1	DNA polymerase III subunit epsilon		CJJ81176_0477	762	253.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	420245	421537	+	EAQ73394.1	thiamine biosynthesis protein ThiC	thiC	CJJ81176_0478	1293	430.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	421529	422047	-	EAQ73210.1	hypothetical protein		CJJ81176_0479	519	172.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	422037	422564	-	EAQ73079.1	hypothetical protein		CJJ81176_0480	528	175.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	422561	423520	-	EAQ73266.1	hypothetical protein		CJJ81176_0481	960	319.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	423522	424172	-	EAQ73466.2	hypothetical protein		CJJ81176_0482	651	216.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	424135	425436	-	EAQ73006.1	tRNA-i(6)A37 thiotransferase enzyme MiaB	miaB	CJJ81176_0483	1302	433.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	425433	425675	-	EAQ73198.1	hypothetical protein		CJJ81176_0484	243	80.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	425803	426891	+	EAQ73123.1	transcription termination factor NusA	nusA	CJJ81176_0485	1089	362.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	426907	428094	-	EAQ73219.1	transporter, putative		CJJ81176_0486	1188	395.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	428168	429214	+	EAQ73140.1	radical SAM domain protein		CJJ81176_0487	1047	348.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	429214	430434	+	EAQ72972.1	peptidase, putative		CJJ81176_0488	1221	406.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	430424	432247	+	EAQ73451.1	ATP-dependent DNA helicase RecG	recG	CJJ81176_0489	1824	607.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	432244	432627	-	EAQ72971.1	hypothetical protein		CJJ81176_0490	384	127.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	432713	433318	+	EAQ73447.2	transcriptional regulator, putative		CJJ81176_0491	606	201.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	433335	434036	+	EAQ73226.1	amino acid ABC transporter, permease protein, His/Glu/Gln/Arg/opine family		CJJ81176_0492	702	233.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	434029	434685	+	EAQ73416.1	amino acid ABC transporter, permease protein, His/Glu/Gln/Arg/opine family		CJJ81176_0493	657	218.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	434687	435424	+	EAQ73330.1	amino acid ABC transporter, ATP-binding protein		CJJ81176_0494	738	245.0	CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	435539	435614	+		tRNA-Thr		CJJ81176_1716	76		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	435664	435749	+		tRNA-Tyr		CJJ81176_1717	86		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	435756	435832	+		tRNA-Gly		CJJ81176_1718	77		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	435937	436011	+		tRNA-Thr		CJJ81176_1719	75		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	436080	437279	+	EAQ73030.1	translation elongation factor Tu	tuf	CJJ81176_0499	1200	399.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	437332	437490	+	EAQ72964.1	ribosomal protein L33	rpmG	CJJ81176_0500	159	52.0	CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	437503	437578	+		tRNA-Trp		CJJ81176_1720	76		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	437597	437776	+	EAQ73430.1	preprotein translocase, SecE subunit	secE	CJJ81176_0502	180	59.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	437786	438319	+	EAQ73248.2	transcription antitermination protein NusG	nusG	CJJ81176_0503	534	177.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	438345	438770	+	EAQ73126.1	ribosomal protein L11	rplK	CJJ81176_0505	426	141.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	438825	439526	+	EAQ73175.1	ribosomal protein L1	rplA	CJJ81176_0506	702	233.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	439678	440157	+	EAQ72990.1	ribosomal protein L10	rplJ	CJJ81176_0507	480	159.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	440178	440555	+	EAQ72965.1	ribosomal protein L7/L12	rplL	CJJ81176_0508	378	125.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	440665	444801	+	EAQ73187.2	DNA-directed RNA polymerase, beta subunit	rpoB	CJJ81176_0509	4137	1378.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	444794	449347	+	EAQ73134.1	DNA-directed RNA polymerase, beta' subunit	rpoC	CJJ81176_0510	4554	1517.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	449467	449853	+	EAQ73201.1	ribosomal protein S12	rpsL	CJJ81176_0511	387	128.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	449923	450393	+	EAQ73024.1	ribosomal protein S7	rpsG	CJJ81176_0512	471	156.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	450406	452481	+	EAQ73060.1	translation elongation factor G	fusA	CJJ81176_0513	2076	691.0	CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	452510	452586	+		tRNA-Arg		CJJ81176_1721	77		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	452604	452753	+	EAQ73252.1	hypothetical protein		CJJ81176_0515	150	49.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	452759	453460	+	EAQ73475.1	hypothetical protein		CJJ81176_0516	702	233.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	453450	453824	+	EAQ73096.1	hypothetical protein		CJJ81176_0517	375	124.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	453836	455074	+	EAQ73336.2	lipoprotein, putative		CJJ81176_0518	1239	412.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	455071	455847	+	EAQ73195.1	indole-3-glycerol phosphate synthase	trpC	CJJ81176_0519	777	258.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	455857	456342	+	EAQ73289.1	Hit family protein		CJJ81176_0520	486	161.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	456332	457336	+	EAQ73442.1	tRNA 2-selenouridine synthase	ybbB	CJJ81176_0521	1005	334.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	457709	457825	-	EAQ73183.1	hypothetical protein		CJJ81176_0522	117	38.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	457960	458142	+	EAQ72984.1	conserved hypothetical protein, degenerate		CJJ81176_0523	183	60.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	458144	458299	+	EAQ73284.1	putative periplasmic protein		CJJ81176_0524	156	51.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	458296	458739	+	EAQ73338.1	putative periplasmic protein		CJJ81176_0525	444	147.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	458769	458885	+	EAQ73395.1	putative periplasmic protein		CJJ81176_0526	117	38.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	458930	459799	+	EAQ73443.1	putative periplasmic protein		CJJ81176_0527	870	289.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	460185	460313	+	EAQ73021.1	hypothetical protein		CJJ81176_0528	129	42.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	460410	462071	+	EAQ73077.1	putative periplasmic protein		CJJ81176_0529	1662	553.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	462333	463988	+	EAQ73358.1	putative outer-membrane protein		CJJ81176_0530	1656	551.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	463992	464921	-	EAQ73002.1	ferrochelatase	hemH	CJJ81176_0531	930	309.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	464918	465784	-	EAQ73092.1	oxidoreductase, Gfo/Idh/MocA family		CJJ81176_0532	867	288.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	465789	466862	-	EAQ73004.1	DegT/DnrJ/EryC1/StrS aminotransferase family		CJJ81176_0533	1074	357.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	466977	469505	+	EAQ73249.1	alanyl-tRNA synthetase	alaS	CJJ81176_0534	2529	842.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	469505	470056	+	EAQ73122.1	maf protein, putative		CJJ81176_0535	552	183.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	470053	471984	+	EAQ73315.1	penicillin-binding protein 1A	pbpA	CJJ81176_0536	1932	643.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	472012	474585	-	EAQ73285.1	ATP-dependent chaperone protein ClpB	clpB	CJJ81176_0537	2574	857.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	474697	474987	-	EAQ73454.1	hypothetical protein		CJJ81176_0538	291	96.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	475105	476439	+	EAQ73412.1	carboxyl-terminal protease	ctpA	CJJ81176_0539	1335	444.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	476441	477151	+	EAQ73331.1	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	CJJ81176_0540	711	236.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	477160	477405	+	EAQ73405.1	phosphoribosylformylglycinamidine synthase, purS protein	purS	CJJ81176_0541	246	81.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	477407	478054	+	EAQ73462.1	phosphoribosylformylglycinamidine synthetase I	purQ	CJJ81176_0542	648	215.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	478138	479247	+	EAQ73261.2	hypothetical protein		CJJ81176_0543	1110	369.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	479228	479920	+	EAQ73346.1	1-acyl-sn-glycerol-3-phosphate acyltransferase, putative		CJJ81176_0544	693	230.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	479914	480282	+	EAQ73135.1	crcB protein		CJJ81176_0545	369	122.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	480354	482180	+	EAQ73192.1	heat shock protein HtpG	htpG	CJJ81176_0546	1827	608.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	482177	482494	+	EAQ73064.1	hypothetical protein		CJJ81176_0547	318	105.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	482494	482928	+	EAQ73037.1	hypothetical protein		CJJ81176_0548	435	144.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	482932	484701	+	EAQ72995.1	Na/Pi-cotransporter, putative		CJJ81176_0549	1770	589.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	484698	486506	-	EAQ73465.1	penicillin-binding protein		CJJ81176_0550	1809	602.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	486513	486809	-	EAQ73125.1	flagellar hook-basal body complex protein FliE	fliE	CJJ81176_0551	297	98.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	486816	487310	-	EAQ72987.1	flagellar basal-body rod protein FlgC	flgC	CJJ81176_0552	495	164.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	487320	487751	-	EAQ73425.1	flagellar basal-body rod protein FlgB	flgB	CJJ81176_0553	432	143.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	487831	488919	-	EAQ73356.2	hypothetical protein		CJJ81176_0554	1089	362.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	488786	491317	+	EAQ73254.2	hypothetical protein		CJJ81176_0555	2532	843.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	491335	493638	+	EAQ73167.2	isocitrate dehydrogenase, NADP-dependent	icd	CJJ81176_0556	2304	767.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	493635	494537	+	EAQ73132.1	malate dehydrogenase	mdh	CJJ81176_0557	903	300.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	494538	495701	+	EAQ73087.1	succinyl-CoA synthase, beta subunit	sucC	CJJ81176_0558	1164	387.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	495711	496580	+	EAQ72982.1	succinyl-CoA synthase, alpha subunit	sucD	CJJ81176_0559	870	289.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	496594	496905	+	EAQ73264.1	2-oxoglutarate:acceptor oxidoreductase, delta subunit	oorD	CJJ81176_0560	312	103.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	496914	498038	+	EAQ73163.1	2-oxoglutarate:acceptor oxidoreductase, alpha subunit	oorA	CJJ81176_0561	1125	374.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	498040	498885	+	EAQ72974.1	2-oxoglutarate:acceptor oxidoreductase, beta subunit	oorB	CJJ81176_0562	846	281.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	498882	499439	+	EAQ73044.1	2-oxoglutarate:acceptor oxidoreductase, gamma subunit	oorC	CJJ81176_0563	558	185.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	499578	499841	+	EAQ73094.1	hypothetical protein		CJJ81176_0564	264	87.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	499844	500380	+	EAQ73157.1	hypothetical protein		CJJ81176_0565	537	178.0	CP000538.1
